event_id,market_id,slug,asset,duration,question,start_time,end_time,yes_token_id,no_token_id,resolution_source,volume,active,closed
127975,1043594,btc-updown-5m-1766973000,BTC,5m,"Bitcoin Up or Down - December 28, 8:50PM-8:55PM ET",1766973000,1766973300,18479156361523645845274765223079463991052909177076789198739199319507398600845,63808718691487077809092101376221535466880819741309564696512979865360354231920,https://data.chain.link/streams/btc-usd,0.0,true,false
127981,1043608,sol-updown-5m-1766973300,SOL,5m,"Solana Up or Down - December 28, 8:55PM-9:00PM ET",1766973300,1766973600,56106127358941459824893138548425349036856918069179584869175028563959843565458,80704060500363866519047608477095000679443748969656723154101587137653724900478,https://data.chain.link/streams/sol-usd,0.0,true,false
126855,1037744,btc-updown-15m-1766926800,BTC,5m,"Bitcoin Up or Down - December 28, 8:00AM-8:15AM ET",1766926800,1766927700,30503663030433466385413739068075543587438639242222949121383561212069976083797,37887027313491106678081073064501536139935971728346117226807119480257772260502,https://data.chain.link/streams/btc-usd,0.0,true,false
127368,1040034,eth-updown-15m-1766945700,ETH,5m,"Ethereum Up or Down - December 28, 1:15PM-1:30PM ET",1766945700,1766946600,70061021311909969433544460502599505205743044864046960792727519741497377671561,54171041627549336838316717396425876320298542941787871246162402422633805862740,https://data.chain.link/streams/eth-usd,0.0,true,false
127134,1038951,btc-updown-5m-1766936400,BTC,5m,"Bitcoin Up or Down - December 28, 10:40AM-10:45AM ET",1766936400,1766936700,8627912637336779487936936904690823248838294932110839844546779729962274914437,20494599931973497982503655090754090174393660306290528634368220779226987478635,https://data.chain.link/streams/btc-usd,0.0,true,false
126750,1037339,eth-updown-15m-1766921400,ETH,5m,"Ethereum Up or Down - December 28, 6:30AM-6:45AM ET",1766921400,1766922300,60286551215283486257119929281444166828835631642217038993900723730486010934834,15294294887194444271992553826948672675421264307478457723569089616333640604354,https://data.chain.link/streams/eth-usd,0.0,true,false
127391,1040332,btc-updown-5m-1766946600,BTC,5m,"Bitcoin Up or Down - December 28, 1:30PM-1:35PM ET",1766946600,1766946900,109045907248491009759219578505415142342284328229535526317313438889607982726607,88925647931715405202701841488272074716025055476814716532831114180505093320800,https://data.chain.link/streams/btc-usd,0.0,true,false
126731,1037070,sol-updown-5m-1766920200,SOL,5m,"Solana Up or Down - December 28, 6:10AM-6:15AM ET",1766920200,1766920500,16932824618232462265140230122440379280418002802060795962083369228928665167887,65018496608259367834128968818149840490202972323185600236588067258711861604233,https://data.chain.link/streams/sol-usd,0.0,true,false
126447,1035748,sol-updown-5m-1766906400,SOL,5m,"Solana Up or Down - December 28, 2:20AM-2:25AM ET",1766906400,1766906700,113932758713122315717316635493870943648780198811250550627918679283463997093269,82122163888724407734201845158656523031874907953944788646778161615567307655815,https://data.chain.link/streams/sol-usd,0.0,true,false
127598,1041340,eth-updown-15m-1766953800,ETH,5m,"Ethereum Up or Down - December 28, 3:30PM-3:45PM ET",1766953800,1766954700,57143483258381688430517101234819106560959161648796934470261082726839593101768,86599086031878779953850472360591796713386054609229054797074200960052373404758,https://data.chain.link/streams/eth-usd,0.0,true,false
